
100 9e-06
600 0.000256
1100 0.000875
1600 0.001839
2100 0.003363
2600 0.004931
3100 0.007037
3600 0.00938
4100 0.012138
4600 0.016815
5100 0.018786
5600 0.022701
6100 0.026736
6600 0.031486
7100 0.036622
7600 0.041448
8100 0.047126
8600 0.053296
9100 0.059646
9600 0.066549
10100 0.075145
10600 0.081113
11100 0.088766
11600 0.096551
12100 0.104949
12600 0.140037
13100 0.124439
13600 0.132329
14100 0.143845
14600 0.153849
15100 0.16337
15600 0.180934
16100 0.191709
16600 0.19948
17100 0.224692
17600 0.222808
18100 0.238451
18600 0.269277
19100 0.26232
19600 0.273343
20100 0.289061
20600 0.305223
21100 0.319228
21600 0.346303
22100 0.349297
22600 0.366624
23100 0.381018
23600 0.407983
24100 0.414367
24600 0.439595
25100 0.455832
25600 0.469846
26100 0.486589
26600 0.525811
27100 0.549623
27600 0.579595
28100 0.577887
28600 0.588487
29100 0.60561
29600 0.629067
