
100 8e-06
600 0.000256
1100 0.000868
1600 0.001824
2100 0.003212
2600 0.004876
3100 0.006957
3600 0.009707
4100 0.012287
4600 0.015765
5100 0.018886
5600 0.022609
6100 0.026582
6600 0.031743
7100 0.036486
7600 0.049428
8100 0.047576
8600 0.053118
9100 0.059373
9600 0.075587
10100 0.07368
10600 0.081206
11100 0.092203
11600 0.118084
12100 0.105613
12600 0.11348
13100 0.136911
13600 0.133965
14100 0.157405
14600 0.152239
15100 0.166328
15600 0.185741
16100 0.186262
16600 0.196924
17100 0.211098
17600 0.221778
18100 0.233655
18600 0.253604
19100 0.267282
19600 0.278179
20100 0.29321
20600 0.303954
21100 0.328893
21600 0.334099
22100 0.350858
22600 0.368061
23100 0.404336
23600 0.39684
24100 0.414907
24600 0.433245
25100 0.450662
25600 0.471298
26100 0.500615
26600 0.505016
27100 0.524777
27600 0.564806
28100 0.564613
28600 0.585795
29100 0.630705
29600 0.651913
